ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,num_flights,avg_delay_minutes,delayed_percentage
BWI,"Baltimore, MD",MD,94312,16.39,21.59
MLB,"Melbourne, FL",FL,2893,16.36,16.49
BNA,"Nashville, TN",TN,103351,16.33,21.38
AMA,"Amarillo, TX",TX,5081,16.3,18.09
BFL,"Bakersfield, CA",CA,3014,16.3,16.03
TUL,"Tulsa, OK",OK,18057,16.29,18.35
GJT,"Grand Junction, CO",CO,4640,16.19,18.25
TLH,"Tallahassee, FL",FL,4367,16.11,16.46
OKC,"Oklahoma City, OK",OK,23757,16.07,18.72
MCI,"Kansas City, MO",MO,47172,16.06,19.88
MEM,"Memphis, TN",TN,23486,16.03,18.54
ECP,"Panama City, FL",FL,8719,15.93,17.78
HHH,"Hilton Head, SC",SC,2056,15.78,17.7
CMH,"Columbus, OH",OH,43583,15.73,19.79
BHM,"Birmingham, AL",AL,16452,15.68,17.78
ABE,"Allentown/Bethlehem/Easton, PA",PA,2956,15.67,16.14
IND,"Indianapolis, IN",IN,46362,15.56,18.85
OMA,"Omaha, NE",NE,24193,15.55,17.93
MAF,"Midland/Odessa, TX",TX,9726,15.55,16.33
STL,"St. Louis, MO",MO,63064,15.39,20.28
MSP,"Minneapolis, MN",MN,111116,15.33,19.62
FAT,"Fresno, CA",CA,13145,14.85,17.35
DAL,"Dallas, TX",TX,70096,14.82,22.3
SAN,"San Diego, CA",CA,95102,14.79,20.69
PIT,"Pittsburgh, PA",PA,42382,14.68,18.43
SBA,"Santa Barbara, CA",CA,8091,14.6,18.12
GNV,"Gainesville, FL",FL,2624,14.58,13.0
PGD,"Punta Gorda, FL",FL,7554,14.58,19.33
MRY,"Monterey, CA",CA,4790,14.55,15.11
PSP,"Palm Springs, CA",CA,14827,14.39,17.99
SNA,"Santa Ana, CA",CA,44291,14.36,17.72
SFO,"San Francisco, CA",CA,142506,14.26,19.27
LAS,"Las Vegas, NV",NV,181299,14.17,20.27
MDW,"Chicago, IL",IL,73073,14.09,21.28
CRP,"Corpus Christi, TX",TX,3852,13.95,16.95
RNO,"Reno, NV",NV,20462,13.89,17.41
PAE,"Everett, WA",WA,1049,13.83,16.11
EUG,"Eugene, OR",OR,8208,13.81,15.64
SAT,"San Antonio, TX",TX,41143,13.66,16.69
BQN,"Aguadilla, PR",PR,2159,13.64,17.37
GPT,"Gulfport/Biloxi, MS",MS,3245,13.54,13.78
ELP,"El Paso, TX",TX,16738,13.43,16.61
PHX,"Phoenix, AZ",AZ,194219,13.41,18.83
LAX,"Los Angeles, CA",CA,187805,13.19,16.87
ABI,"Abilene, TX",TX,1713,13.14,16.87
GRK,"Killeen, TX",TX,1736,13.1,19.01
DAB,"Daytona Beach, FL",FL,2992,13.06,14.07
MFR,"Medford, OR",OR,4550,12.96,14.04
SEA,"Seattle, WA",WA,162352,12.91,20.69
TUS,"Tucson, AZ",AZ,19859,12.83,14.64
ABQ,"Albuquerque, NM",NM,24858,12.8,16.05
ONT,"Ontario, CA",CA,25847,12.72,16.14
RDM,"Bend/Redmond, OR",OR,6109,12.57,16.16
HRL,"Harlingen/San Benito, TX",TX,4178,12.55,16.04
HOU,"Houston, TX",TX,54519,12.38,19.29
KTN,"Ketchikan, AK",AK,2313,12.34,17.55
SGU,"St. George, UT",UT,4512,12.14,13.43
BUR,"Burbank, CA",CA,30086,12.04,16.19
FSM,"Fort Smith, AR",AR,1139,11.67,16.15
PDX,"Portland, OR",OR,60353,11.5,16.82
BOI,"Boise, ID",ID,23335,11.32,15.26
GEG,"Spokane, WA",WA,18040,11.14,15.21
SLC,"Salt Lake City, UT",UT,115090,11.04,15.14
SMF,"Sacramento, CA",CA,57309,10.93,16.37
JNU,"Juneau, AK",AK,4555,10.89,14.88
ANC,"Anchorage, AK",AK,18256,10.74,15.04
GTF,"Great Falls, MT",MT,2410,10.63,11.78
ACY,"Atlantic City, NJ",NJ,2660,10.57,12.93
SIT,"Sitka, AK",AK,1277,10.44,15.74
FAI,"Fairbanks, AK",AK,3690,10.35,15.28
AZA,"Phoenix, AZ",AZ,6414,10.31,14.87
OAK,"Oakland, CA",CA,34155,10.04,16.38
PSC,"Pasco/Kennewick/Richland, WA",WA,6334,9.9,11.08
SJC,"San Jose, CA",CA,45474,9.84,15.14
OGG,"Kahului, HI",HI,25170,9.67,13.31
BLI,"Bellingham, WA",WA,2371,9.55,13.33
HNL,"Honolulu, HI",HI,58056,9.26,13.37
KOA,"Kona, HI",HI,15557,9.11,11.56
LGB,"Long Beach, CA",CA,16630,8.69,13.19
LIH,"Lihue, HI",HI,15420,8.52,12.73
ITO,"Hilo, HI",HI,6600,5.84,9.83
