ROUTE,num_flights,avg_delay_minutes,delayed_percentage
PNS_CLT,5808,23.77,20.33
VPS_CLT,3343,23.76,20.76
RSW_BOS,6187,23.74,25.97
DCA_PNS,2483,23.74,27.59
IAH_BOS,5777,23.73,25.67
DEN_HNL,1672,23.72,26.38
DSM_PGD,518,23.68,26.83
DEN_LBB,2182,23.67,28.6
BIS_DEN,3886,23.67,21.31
DFW_IAH,15248,23.66,28.44
BUF_FLL,1548,23.66,27.84
FWA_PGD,625,23.61,28.96
PBI_IAH,891,23.59,25.36
MKE_CLT,3021,23.59,21.95
FLL_ORD,8570,23.58,27.27
MCO_DCA,13777,23.58,26.07
GEG_ORD,764,23.57,25.52
PGD_DSM,519,23.56,26.59
SDF_MIA,1405,23.56,21.14
DFW_ELP,8120,23.56,29.33
CMH_LAX,976,23.56,22.85
DCA_HPN,3872,23.55,28.25
IAH_SHV,1182,23.55,25.3
DCA_LAN,878,23.51,26.88
CLT_MCO,15645,23.51,28.41
DTW_FWA,743,23.5,26.92
DFW_RDU,6289,23.49,29.24
EWR_MSN,1048,23.49,27.86
SJU_BOS,6017,23.47,26.03
PIA_CLT,2195,23.43,21.37
MOT_DEN,2358,23.43,20.14
IAH_GSP,827,23.43,29.99
RSW_LGA,3093,23.42,23.63
MSP_FWA,1078,23.41,22.17
MIA_AVL,506,23.41,34.78
FLL_CLE,3312,23.4,27.93
DFW_MIA,13582,23.39,29.35
DFW_BDL,1867,23.39,33.53
ORD_RST,1644,23.39,28.16
AGS_DCA,1026,23.38,23.1
DTW_IMT,902,23.38,18.4
DEN_JFK,4453,23.37,23.78
PWM_DCA,3510,23.34,21.42
MCO_TTN,1881,23.34,27.38
CLT_SEA,3739,23.34,29.5
JAX_DCA,4377,23.33,23.21
BGR_PHL,1473,23.32,20.84
ISP_TPA,1500,23.29,26.4
ORD_JFK,7255,23.29,26.26
BDL_MCO,5904,23.27,26.3
JAX_EWR,3874,23.27,22.15
ATW_SFB,596,23.27,21.14
DFW_ONT,6960,23.27,30.01
DLH_ORD,2844,23.26,20.01
DCA_TLH,1044,23.24,28.74
EWR_SFO,12366,23.23,26.03
SGF_DEN,2616,23.23,22.09
DFW_PHX,14872,23.22,29.2
GRR_DCA,1993,23.22,21.68
MQT_ORD,1316,23.21,24.47
ATL_EWR,17578,23.21,26.69
ORD_FWA,4594,23.21,27.14
DFW_JAX,5456,23.21,30.1
EYW_CLT,3847,23.2,24.88
ABQ_DFW,6948,23.18,22.15
CID_CLT,1455,23.16,19.18
EUG_PHX,1637,23.16,16.0
MCO_CVG,5151,23.15,25.65
FAR_ORD,5282,23.14,22.3
CHA_ORD,2544,23.14,23.27
RST_ORD,1645,23.14,25.59
MIA_MCO,11286,23.13,26.26
PBI_JFK,6382,23.13,27.17
SFO_DFW,11792,23.13,23.97
PIA_ORD,4126,23.12,24.09
ORD_JAC,2040,23.1,24.75
MKE_ORD,8508,23.1,25.21
MIA_RDU,7004,23.09,27.9
BNA_EWR,5919,23.09,23.33
CIU_DTW,1067,23.08,18.18
JFK_MKE,1597,23.05,23.67
ONT_CLT,987,23.05,14.39
IND_DFW,5594,23.04,21.83
RKS_DEN,1754,23.04,13.74
ALB_CLT,3357,23.03,21.15
FLL_ORF,1088,23.02,29.78
IAH_PHL,5403,23.01,19.6
BGR_ORD,1190,23.01,28.15
FLG_DFW,1251,23.01,19.34
PGD_GRR,944,22.99,23.94
SBN_ORD,5959,22.99,23.24
SHV_DFW,5781,22.98,22.75
BNA_DSM,609,22.97,21.35
SAT_DFW,12341,22.97,24.03
HSV_DCA,3911,22.97,24.96
DFW_MYR,1302,22.95,27.73
MIA_IAH,9824,22.95,26.68
MSP_SBN,1086,22.94,20.44
SAN_DFW,10208,22.94,23.15
AUS_CLT,5467,22.94,20.67
MCO_BOS,14296,22.93,27.5
DFW_PDX,6950,22.92,30.68
ACK_LGA,1253,22.9,22.03
RSW_JFK,3813,22.89,24.31
RIW_DEN,1750,22.89,14.34
JAC_DEN,4412,22.88,24.23
EYW_ORD,1120,22.87,30.71
BUF_DCA,3345,22.87,22.81
RNO_DFW,3596,22.87,19.52
LAS_BOS,4794,22.86,25.01
SJU_CLT,2942,22.84,21.14
JAX_DFW,5420,22.84,23.39
FSD_DFW,2654,22.84,24.27
DFW_SLC,11208,22.83,27.35
GSP_DFW,3189,22.83,23.61
IMT_MSP,1063,22.82,18.06
MLI_ORD,4027,22.82,22.15
LAS_DCA,1379,22.82,24.8
ROW_DFW,2563,22.82,19.98
BHM_DFW,6271,22.79,23.28
LGA_TPA,7814,22.79,25.99
LGA_OKC,2729,22.78,24.11
LGA_PBI,8478,22.77,27.59
ATL_MIA,19453,22.75,28.03
FLL_PIT,3092,22.74,31.63
MIA_CHS,2463,22.74,27.69
DCA_MGM,854,22.72,27.87
DEN_SHV,580,22.71,25.17
BZN_ORD,2695,22.71,21.15
TYS_ORD,5150,22.69,22.74
IAD_SRQ,607,22.68,24.22
FLL_BDL,2169,22.66,29.23
PSM_PGD,593,22.65,21.75
EYW_EWR,1481,22.65,23.7
ORD_DFW,18673,22.63,25.51
BTV_PHL,2373,22.62,21.96
DFW_OMA,4318,22.62,29.39
ISP_FLL,938,22.62,24.95
PVD_PBI,1198,22.61,27.71
RAP_AZA,559,22.6,25.22
SRQ_CVG,808,22.6,23.14
CLT_PHL,10896,22.6,26.74
SFB_TYS,1796,22.59,29.79
CLE_DCA,4228,22.54,21.31
IAH_OMA,1743,22.54,28.92
IAH_CLT,6995,22.52,22.14
LIT_DFW,8206,22.51,26.04
LAW_DFW,3059,22.5,20.07
TYS_PGD,568,22.5,28.17
LGA_FLL,13228,22.48,26.56
DEN_DFW,17690,22.48,25.69
IAH_MIA,9805,22.46,24.63
PHL_CVG,3283,22.45,25.28
PHX_FLL,1059,22.44,27.67
CMH_DFW,5110,22.43,19.49
SNA_DTW,829,22.41,25.93
BWI_SJU,3995,22.4,31.79
FAR_DEN,4333,22.4,23.24
PWM_PHL,2419,22.4,20.55
FWA_CLT,571,22.39,22.42
SAV_DCA,2584,22.39,19.74
PGD_IND,690,22.39,28.99
MFE_DFW,6808,22.38,21.47
CLT_LGA,15813,22.35,26.5
XNA_VPS,596,22.35,22.48
